,Unnamed: 0,year,state,agency_name,fips_state_code,fips_county_code,fips_state_county_code,population,rec_legal,med_legal,narc_per_cap,synth_per_cap,other_per_cap,total_drug_per_cap,violent_per_cap,prop_per_cap,cpi,hhic,hhic_inf,educ,unemp,white,black,hisp,dem_gov,officer_emp,officer_per_cap,state_agency
20,20,2008,california,walnut creek,6,13,6013,63122,0.0,1.0,15.68391369,0.0,5.544817972,21.22873166,8.079591901,38.18003232,215.303,88802,41.24512896,27.3307047,6.4749694,64.5517646,8.9744909,23.547198,0,681,107.8863154,californiawalnut creek
21,21,2008,california,el dorado,6,17,6017,144018,0.0,1.0,9.582135566,0.0,15.34530406,24.92743963,19.92806455,17.70612007,215.303,75300,34.97396692,19.6523598,6.5019638,84.8505798,0.4961309,15.2615435,0,206,14.30376758,californiael dorado
22,22,2008,california,fresno,6,19,6019,189229,0.0,1.0,6.02444657,0.0,33.08161011,39.10605668,42.75243224,27.00431752,215.303,46070,21.39775108,11.9694348,9.2154063,59.0287549,5.0474636,48.6709487,0,899,47.50857427,californiafresno
23,23,2008,california,clovis,6,19,6019,93848,0.0,1.0,11.08174921,0.0,20.03239281,31.11414202,24.29460404,85.77700111,215.303,46070,21.39775108,11.9694348,9.2154063,59.0287549,5.0474636,48.6709487,0,899,95.79319751,californiaclovis
24,24,2008,california,humboldt,6,23,6023,68766,0.0,1.0,20.21347759,0.0,36.06433412,56.27781171,25.73946427,26.17572638,215.303,44400,20.62210002,15.3969197,7.2782238,83.1919864,0.9217247,7.2106743,0,184,26.75740918,californiahumboldt
25,25,2008,california,kern,6,29,6029,337314,0.0,1.0,41.03001951,0.0,46.09948001,87.12949952,42.92736145,25.58447026,215.303,50000,23.2230856,8.997107,8.752228,68.769051,4.7909595,48.7996101,0,908,26.91853881,californiakern
26,26,2008,california,bakersfield,6,29,6029,326046,0.0,1.0,24.29105096,0.0,59.22477196,83.51582292,72.90382339,102.8995909,215.303,50000,23.2230856,8.997107,8.752228,68.769051,4.7909595,48.7996101,0,908,27.84883115,californiabakersfield
27,27,2008,california,los angeles,6,37,6037,1006321,0.0,1.0,58.11266981,0.0,49.67599802,107.7886678,41.81568307,33.54794345,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,94.53246032,californialos angeles
28,28,2008,california,alhambra,6,37,6037,86404,0.0,1.0,4.629415305,0.0,7.52279987,12.15221518,17.70751354,43.40076848,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1100.990695,californiaalhambra
29,29,2008,california,arcadia,6,37,6037,56605,0.0,1.0,3.35659394,0.0,6.88985072,10.24644466,11.30642169,80.02826605,215.303,61000,28.33216444,19.5837463,6.659238,52.9874403,8.6313645,46.9086752,0,9513,1680.593587,californiaarcadia
